Fecha de emisión,Fecha de corte,"Cód. 
depto.",Departamento,No. de productores con acuerdos comerciales,No. de productores mujeres con acuerdos comerciales,No. de productores hombres con acuerdos comerciales,No. de productores sin definir,"Valor estimado de los acuerdos comerciales
 ($ millones)"
12/15/2021 12:00:00 AM,02/28/2019 12:00:00 AM,68,Santander,0,0,0,0,0
12/15/2021 12:00:00 AM,02/28/2019 12:00:00 AM,70,Sucre,0,0,0,0,0
12/15/2021 12:00:00 AM,02/28/2019 12:00:00 AM,73,Tolima,246,0,0,246,204160000
12/15/2021 12:00:00 AM,02/28/2019 12:00:00 AM,76,Valle del Cauca,0,0,0,0,0
12/15/2021 12:00:00 AM,02/28/2019 12:00:00 AM,97,Vaupés,0,0,0,0,0
12/15/2021 12:00:00 AM,02/28/2019 12:00:00 AM,99,Vichada,0,0,0,0,0
12/15/2021 12:00:00 AM,02/28/2019 12:00:00 AM,0,Sin información,0,0,0,0,0
12/15/2021 12:00:00 AM,03/31/2019 12:00:00 AM,91,Amazonas,0,0,0,0,0
12/15/2021 12:00:00 AM,03/31/2019 12:00:00 AM,5,Antioquia,0,0,0,0,0
12/15/2021 12:00:00 AM,03/31/2019 12:00:00 AM,81,Arauca,0,0,0,0,0
12/15/2021 12:00:00 AM,03/31/2019 12:00:00 AM,8,Atlántico,0,0,0,0,0
12/15/2021 12:00:00 AM,03/31/2019 12:00:00 AM,11,Bogotá,0,0,0,0,0
12/15/2021 12:00:00 AM,03/31/2019 12:00:00 AM,13,Bolívar,0,0,0,0,0
12/15/2021 12:00:00 AM,03/31/2019 12:00:00 AM,15,Boyacá,0,0,0,0,0
12/15/2021 12:00:00 AM,03/31/2019 12:00:00 AM,17,Caldas,0,0,0,0,0
12/15/2021 12:00:00 AM,03/31/2019 12:00:00 AM,18,Caquetá,0,0,0,0,0
12/15/2021 12:00:00 AM,03/31/2019 12:00:00 AM,85,Casanare,0,0,0,0,0
12/15/2021 12:00:00 AM,03/31/2019 12:00:00 AM,19,Cauca,-167,0,0,-167,-569600000
12/15/2021 12:00:00 AM,03/31/2019 12:00:00 AM,20,Cesar,-25,0,0,-25,-6300000
12/15/2021 12:00:00 AM,03/31/2019 12:00:00 AM,27,Chocó,0,0,0,0,0
12/15/2021 12:00:00 AM,03/31/2019 12:00:00 AM,23,Córdoba,0,0,0,0,0
12/15/2021 12:00:00 AM,03/31/2019 12:00:00 AM,25,Cundinamarca,0,0,0,0,0
12/15/2021 12:00:00 AM,03/31/2019 12:00:00 AM,94,Guainía,0,0,0,0,0
12/15/2021 12:00:00 AM,03/31/2019 12:00:00 AM,95,Guaviare,0,0,0,0,0
12/15/2021 12:00:00 AM,03/31/2019 12:00:00 AM,41,Huila,0,0,0,0,0
12/15/2021 12:00:00 AM,03/31/2019 12:00:00 AM,44,La Guajira,-231,0,0,-231,-116993111
12/15/2021 12:00:00 AM,03/31/2019 12:00:00 AM,47,Magdalena,0,0,0,0,0
12/15/2021 12:00:00 AM,03/31/2019 12:00:00 AM,50,Meta,0,0,0,0,0
12/15/2021 12:00:00 AM,03/31/2019 12:00:00 AM,52,Nariño,0,0,0,0,0
12/15/2021 12:00:00 AM,03/31/2019 12:00:00 AM,54,Norte de Santander,0,0,0,0,0
12/15/2021 12:00:00 AM,03/31/2019 12:00:00 AM,86,Putumayo,-36,0,0,-36,-195000000
12/15/2021 12:00:00 AM,03/31/2019 12:00:00 AM,63,Quindío,0,0,0,0,0
12/15/2021 12:00:00 AM,03/31/2019 12:00:00 AM,66,Risaralda,0,0,0,0,0
12/15/2021 12:00:00 AM,03/31/2019 12:00:00 AM,88,San Andrés y Providencia,0,0,0,0,0
12/15/2021 12:00:00 AM,03/31/2019 12:00:00 AM,68,Santander,0,0,0,0,0
12/15/2021 12:00:00 AM,03/31/2019 12:00:00 AM,70,Sucre,0,0,0,0,0
12/15/2021 12:00:00 AM,03/31/2019 12:00:00 AM,73,Tolima,-246,0,0,-246,-204160000
12/15/2021 12:00:00 AM,03/31/2019 12:00:00 AM,76,Valle del Cauca,0,0,0,0,0
12/15/2021 12:00:00 AM,03/31/2019 12:00:00 AM,97,Vaupés,0,0,0,0,0
12/15/2021 12:00:00 AM,03/31/2019 12:00:00 AM,99,Vichada,0,0,0,0,0
12/15/2021 12:00:00 AM,03/31/2019 12:00:00 AM,0,Sin información,0,0,0,0,0
12/15/2021 12:00:00 AM,04/30/2019 12:00:00 AM,91,Amazonas,0,0,0,0,0
12/15/2021 12:00:00 AM,04/30/2019 12:00:00 AM,5,Antioquia,0,0,0,0,0
12/15/2021 12:00:00 AM,04/30/2019 12:00:00 AM,81,Arauca,0,0,0,0,0
12/15/2021 12:00:00 AM,04/30/2019 12:00:00 AM,8,Atlántico,0,0,0,0,0
12/15/2021 12:00:00 AM,04/30/2019 12:00:00 AM,11,Bogotá,0,0,0,0,0
12/15/2021 12:00:00 AM,04/30/2019 12:00:00 AM,13,Bolívar,0,0,0,0,0
12/15/2021 12:00:00 AM,04/30/2019 12:00:00 AM,15,Boyacá,0,0,0,0,0
12/15/2021 12:00:00 AM,04/30/2019 12:00:00 AM,17,Caldas,0,0,0,0,0
12/15/2021 12:00:00 AM,04/30/2019 12:00:00 AM,18,Caquetá,0,0,0,0,0
12/15/2021 12:00:00 AM,04/30/2019 12:00:00 AM,85,Casanare,0,0,0,0,0
12/15/2021 12:00:00 AM,04/30/2019 12:00:00 AM,19,Cauca,0,0,0,0,0
12/15/2021 12:00:00 AM,04/30/2019 12:00:00 AM,20,Cesar,0,0,0,0,0
12/15/2021 12:00:00 AM,04/30/2019 12:00:00 AM,27,Chocó,0,0,0,0,0
12/15/2021 12:00:00 AM,04/30/2019 12:00:00 AM,23,Córdoba,0,0,0,0,0
12/15/2021 12:00:00 AM,04/30/2019 12:00:00 AM,25,Cundinamarca,0,0,0,0,0
12/15/2021 12:00:00 AM,04/30/2019 12:00:00 AM,94,Guainía,0,0,0,0,0
12/15/2021 12:00:00 AM,04/30/2019 12:00:00 AM,95,Guaviare,0,0,0,0,0
12/15/2021 12:00:00 AM,04/30/2019 12:00:00 AM,41,Huila,0,0,0,0,0
12/15/2021 12:00:00 AM,04/30/2019 12:00:00 AM,44,La Guajira,0,0,0,0,0
12/15/2021 12:00:00 AM,04/30/2019 12:00:00 AM,47,Magdalena,0,0,0,0,0
12/15/2021 12:00:00 AM,04/30/2019 12:00:00 AM,50,Meta,0,0,0,0,0
12/15/2021 12:00:00 AM,04/30/2019 12:00:00 AM,52,Nariño,0,0,0,0,0
12/15/2021 12:00:00 AM,04/30/2019 12:00:00 AM,54,Norte de Santander,0,0,0,0,0
12/15/2021 12:00:00 AM,04/30/2019 12:00:00 AM,86,Putumayo,0,0,0,0,0
12/15/2021 12:00:00 AM,04/30/2019 12:00:00 AM,63,Quindío,0,0,0,0,0
12/15/2021 12:00:00 AM,04/30/2019 12:00:00 AM,66,Risaralda,0,0,0,0,0
12/15/2021 12:00:00 AM,04/30/2019 12:00:00 AM,88,San Andrés y Providencia,0,0,0,0,0
12/15/2021 12:00:00 AM,04/30/2019 12:00:00 AM,68,Santander,0,0,0,0,0
12/15/2021 12:00:00 AM,04/30/2019 12:00:00 AM,70,Sucre,0,0,0,0,0
12/15/2021 12:00:00 AM,04/30/2019 12:00:00 AM,73,Tolima,0,0,0,0,0
12/15/2021 12:00:00 AM,04/30/2019 12:00:00 AM,76,Valle del Cauca,0,0,0,0,0
12/15/2021 12:00:00 AM,04/30/2019 12:00:00 AM,97,Vaupés,0,0,0,0,0
12/15/2021 12:00:00 AM,04/30/2019 12:00:00 AM,99,Vichada,0,0,0,0,0
12/15/2021 12:00:00 AM,04/30/2019 12:00:00 AM,0,Sin información,0,0,0,0,0
12/15/2021 12:00:00 AM,05/31/2019 12:00:00 AM,91,Amazonas,0,0,0,0,0
12/15/2021 12:00:00 AM,05/31/2019 12:00:00 AM,5,Antioquia,750,0,0,750,359061716
12/15/2021 12:00:00 AM,05/31/2019 12:00:00 AM,81,Arauca,1,0,0,1,178048000
12/15/2021 12:00:00 AM,05/31/2019 12:00:00 AM,8,Atlántico,0,0,0,0,0
12/15/2021 12:00:00 AM,05/31/2019 12:00:00 AM,11,Bogotá,0,0,0,0,0
12/15/2021 12:00:00 AM,05/31/2019 12:00:00 AM,13,Bolívar,5,0,0,5,740928000
12/15/2021 12:00:00 AM,05/31/2019 12:00:00 AM,15,Boyacá,235,0,0,235,123200000
12/15/2021 12:00:00 AM,05/31/2019 12:00:00 AM,17,Caldas,0,0,0,0,0
12/15/2021 12:00:00 AM,05/31/2019 12:00:00 AM,18,Caquetá,1340,0,0,1340,501600000
12/15/2021 12:00:00 AM,05/31/2019 12:00:00 AM,85,Casanare,41,0,0,41,9547567200
12/15/2021 12:00:00 AM,05/31/2019 12:00:00 AM,19,Cauca,205,0,0,205,575210000
12/15/2021 12:00:00 AM,05/31/2019 12:00:00 AM,20,Cesar,552,0,0,552,4279530000
12/15/2021 12:00:00 AM,05/31/2019 12:00:00 AM,27,Chocó,0,0,0,0,0
12/15/2021 12:00:00 AM,05/31/2019 12:00:00 AM,23,Córdoba,1158,0,0,1158,26776608223
12/15/2021 12:00:00 AM,05/31/2019 12:00:00 AM,25,Cundinamarca,0,0,0,0,0
12/15/2021 12:00:00 AM,05/31/2019 12:00:00 AM,94,Guainía,0,0,0,0,0
12/15/2021 12:00:00 AM,05/31/2019 12:00:00 AM,95,Guaviare,0,0,0,0,0
12/15/2021 12:00:00 AM,05/31/2019 12:00:00 AM,41,Huila,5,0,0,5,87640000
12/15/2021 12:00:00 AM,05/31/2019 12:00:00 AM,44,La Guajira,437,0,0,437,10100253111
12/15/2021 12:00:00 AM,05/31/2019 12:00:00 AM,47,Magdalena,82,0,0,82,2796999400
12/15/2021 12:00:00 AM,05/31/2019 12:00:00 AM,50,Meta,0,0,0,0,0
12/15/2021 12:00:00 AM,05/31/2019 12:00:00 AM,52,Nariño,300,0,0,300,2040000000
12/15/2021 12:00:00 AM,05/31/2019 12:00:00 AM,54,Norte de Santander,0,0,0,0,0
12/15/2021 12:00:00 AM,05/31/2019 12:00:00 AM,86,Putumayo,36,0,0,36,195000000
12/15/2021 12:00:00 AM,05/31/2019 12:00:00 AM,63,Quindío,19,0,0,19,83248750
12/15/2021 12:00:00 AM,05/31/2019 12:00:00 AM,66,Risaralda,119,0,0,119,493545000
12/15/2021 12:00:00 AM,05/31/2019 12:00:00 AM,88,San Andrés y Providencia,0,0,0,0,0
12/15/2021 12:00:00 AM,05/31/2019 12:00:00 AM,68,Santander,0,0,0,0,0
12/15/2021 12:00:00 AM,05/31/2019 12:00:00 AM,70,Sucre,525,0,0,525,3646125000
12/15/2021 12:00:00 AM,05/31/2019 12:00:00 AM,73,Tolima,287,0,0,287,375680000
12/15/2021 12:00:00 AM,05/31/2019 12:00:00 AM,76,Valle del Cauca,53,0,0,53,2611780000
12/15/2021 12:00:00 AM,05/31/2019 12:00:00 AM,97,Vaupés,0,0,0,0,0
12/15/2021 12:00:00 AM,05/31/2019 12:00:00 AM,99,Vichada,1,0,0,1,92820000
12/15/2021 12:00:00 AM,05/31/2019 12:00:00 AM,0,Sin información,0,0,0,0,0
12/15/2021 12:00:00 AM,06/30/2019 12:00:00 AM,91,Amazonas,0,0,0,0,0
12/15/2021 12:00:00 AM,06/30/2019 12:00:00 AM,5,Antioquia,12,0,0,12,1298700000
12/15/2021 12:00:00 AM,06/30/2019 12:00:00 AM,81,Arauca,0,0,0,0,0
12/15/2021 12:00:00 AM,06/30/2019 12:00:00 AM,8,Atlántico,0,0,0,0,0
12/15/2021 12:00:00 AM,06/30/2019 12:00:00 AM,11,Bogotá,0,0,0,0,0
12/15/2021 12:00:00 AM,06/30/2019 12:00:00 AM,13,Bolívar,62,0,0,62,21760000
12/15/2021 12:00:00 AM,06/30/2019 12:00:00 AM,15,Boyacá,499,0,0,499,0
12/15/2021 12:00:00 AM,06/30/2019 12:00:00 AM,17,Caldas,0,0,0,0,0
12/15/2021 12:00:00 AM,06/30/2019 12:00:00 AM,18,Caquetá,0,0,0,0,0
12/15/2021 12:00:00 AM,06/30/2019 12:00:00 AM,85,Casanare,0,0,0,0,0
12/15/2021 12:00:00 AM,06/30/2019 12:00:00 AM,19,Cauca,0,0,0,0,0
12/15/2021 12:00:00 AM,06/30/2019 12:00:00 AM,20,Cesar,0,0,0,0,0
